iter	Passed	Remaining
0	131	12975
1	145	7114
2	152	4929
3	158	3800
4	162	3094
5	167	2617
6	171	2273
7	174	2007
8	178	1803
9	181	1633
10	184	1492
11	187	1377
12	190	1275
13	193	1187
14	196	1111
15	199	1044
16	201	985
17	204	931
18	207	884
19	210	841
20	212	800
21	215	765
22	218	731
23	221	700
24	223	671
25	227	648
26	230	623
27	233	599
28	237	580
29	239	559
30	242	539
31	246	523
32	249	505
33	251	488
34	255	473
35	257	458
36	260	443
37	263	429
38	266	416
39	269	403
40	271	391
41	275	380
42	278	369
43	281	358
44	285	348
45	288	338
46	290	327
47	294	318
48	297	309
49	299	299
50	302	291
51	305	282
52	308	273
53	311	265
54	314	257
55	317	249
56	320	241
57	324	234
58	326	227
59	329	219
60	333	213
61	335	205
62	338	198
63	341	192
64	344	185
65	346	178
66	349	172
67	353	166
68	355	159
69	358	153
70	361	147
71	364	141
72	367	135
73	370	130
74	373	124
75	375	118
76	378	113
77	381	107
78	384	102
79	387	96
80	389	91
81	392	86
82	395	80
83	397	75
84	401	70
85	403	65
86	406	60
87	409	55
88	412	50
89	415	46
90	417	41
91	421	36
92	424	31
93	426	27
94	430	22
95	432	18
96	435	13
97	438	8
98	440	4
99	443	0
